Tweet-Text,Tweet-Lang,Tweet-country,sentiment_type,sentiment_score,sentiment_result_code,sentiment_result_msg
"""Si tu meurs, je meurs avec toi"" #FAF7 #FastFurious7",fr,,neutral,0,469,Sentiment not found
"Fast and furious 7, top movie  #FastFurious7",en,,neutral,0.049394086666667,200,Success
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
Watching #FastFurious7!  So many feelings were happening . Beautiful ending! #PaulWalkerTribute ,en,,positive,0.4397379685,200,Success
the ending of the #FastFurious7 movie is so so sad Im still crying!!  the last scene is so full of meaning!! #RIPPaulWalker,en,,negative,-0.2706746368,200,Success
#FastFamily #FastFurious7 #PaulWalker #VinDiesel http://t.co/cjsdw8bqDa,und,,neutral,0,469,Sentiment not found
RT @TonkaowError: Always In Our Hearts #PaulWalker  #FastFurious7 http://t.co/LzPSCpFUEZ,th,,negative,-0.071533022,200,Success
RT @antymusic: Brothers  Infinite Retweet for that ! #FastFurious7 http://t.co/On1vlvd0GI,en,,negative,-0.071533022,200,Success
@wizkhalifa Your music made me cry  See You Again  #FastFurious7 #ForPaul,en,,neutral,0.02506827625,200,Success
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
"""Dans les combats de rue, seule la rue gagne""  #FAF7 #FastFurious7",fr,,negative,-0.600979659,200,Success
See You Again by Wiz Khalifa best song to end  #FastFurious7,en,United States,positive,0.6047017545,200,Success
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
Really wanna see #FastFurious7,en,,positive,0.2033399465,200,Success
RT @Mayohh_:    #FastFurious7 #Fast7 http://t.co/SuA6kzW9qR,th,,neutral,0,469,Sentiment not found
"RT @Thefelix47: ""7 
 "" #FastFurious7 http:/",th,,neutral,0,469,Sentiment not found
RT @JalenKolodynski: Finished the way they started! #ForPaul #FastFurious7 http://t.co/T5YCQjUkUQ,en,,neutral,0.0108890965,200,Success
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
RT @SickDrawings: Paul Walker #FastFurious7 http://t.co/0avr6mMyt7,en,,neutral,0,469,Sentiment not found
I need to see #FastFurious7 still,en,,negative,-0.13045215066667,200,Success
Rip paul walker sad ending to #FastFurious7,en,,negative,-0.7354410195,200,Success
"Let me put this  down and enjoy the  
 #FastFurious7",en,,positive,0.2274511675,200,Success
"""It's been a long day without you my friend. I will tell you all about it when I see you again."" Most touching song  #ForPaul #FastFurious7",en,,positive,0.13495609283333,200,Success
"Melok latah be cak wng, hahaha

#Latepost #FastFurious7 #palembangsquare #dcost  https://t.co/8KuAS7WBRn",in,,neutral,0,469,Sentiment not found
For Paul #FastFurious7 #paulwalker #paul #RideOut https://t.co/8FuMOK0D5B,en,,neutral,0,469,Sentiment not found
RT @MatthewVlossak: Seeing #FastFurious7 again because I enjoyed it that much. The girls in the movie are equally as jaw dropping as the ca,en,,positive,0.254592793,200,Success
Tante emozioni in un solo film!  Proprio bello Fast and Furious!  Soprattutto gli ultimi cinque minuti   #FastFurious7,it,,negative,-0.1975054675,200,Success
RT @MariselaaRM: #FastFurious7 was goood ; #RIPPaulWalker ',en,,neutral,0,469,Sentiment not found
#FastFurious7 was quality! Letty is amazing!,en,,positive,0.985787502,200,Success
Je m'en remets pas de la fin #FastFurious7 #FAF7,fr,,neutral,0,469,Sentiment not found
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
RT @FuckDilll:  #FastFurious7,th,,neutral,0,469,Sentiment not found
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
"RT @suanjean: 
#forPAUL #FF7 #FastFurious7 http://t.co/Dhmov3MGyE",th,,neutral,0,469,Sentiment not found
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
"RT @PedroDtpk: ""Vc vai precisar de uma cavalaria.

"" MULHER...EU SOU A CACALARIA""
@Velozes7Filme #FastFurious7 #VelozeseFuriosos",pt,,neutral,0,469,Sentiment not found
"RT @suanjean:  
 IT'S NEVER GOODBYE 
#FF7 #FastFurious7 http://t",th,,positive,0.467771937,200,Success
"RT @suanjean: now you gonna be with me for the last ride

#forPAUL #FastFurious7 http://",th,,neutral,0.0067902065,200,Success
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
Trop lent !!! #FastFurious7,fr,,positive,0.13424713,200,Success
RT @KRKnot:    #FastFurious7 #PaulWalker,th,,neutral,0,469,Sentiment not found
"RT @Lea_Cpy: Il parat qu'on ne meurt pas tant qu'on est dans le cur de quelqu'un
 Dominic Torreto #FastFurious7 #PaulWalker",fr,,negative,-0.071533022,200,Success
"Wiz Khalifa - See You Again ( Subtitulada - Traducida al Espaol ) Ft Ch...: https://t.co/ZJ0gJAZAm7 ""nunca sera un adis"" 
#FastFurious7",es,,positive,0.214487297,200,Success
#FastFurious7 No words. amazing,en,,negative,-0.601873338,200,Success
RT @MAYReE_Vip:       #FastFurious7,th,,neutral,0,469,Sentiment not found
Watching #FastFurious7 just to see @IGGYAZALEA ,en,United States,positive,0.214487297,200,Success
"RT @suanjean: ""

""
#FF7 #FastFurious7 RIP http://",th,,negative,-0.492508949,200,Success
RT @nnnnoeyyy:   ,th,,neutral,0,469,Sentiment not found
"Can not wait to go see #FastFurious7 can't stop watching the tribute to #PaulWalker RIP  powerful scenes!! Beautiful song, shivery spine...",en,,positive,0.095418005363636,200,Success
RT @antymusic: Brothers  Infinite Retweet for that ! #FastFurious7 http://t.co/On1vlvd0GI,en,,negative,-0.071533022,200,Success
"RT @suanjean: 
#forPAUL #FF7 #FastFurious7 http://t.co/Dhmov3MGyE",th,,neutral,0,469,Sentiment not found
RT @cho_macha: ...!! ... #RIPPaulWalker #FastFurious7 #7 http://t.co/ClZ,th,,neutral,0,469,Sentiment not found
RT @NTS_Kennessy: #FastFurious7 is the best movie I've ever seen. The ending was incredible #RIPPaulWalker,en,,positive,0.994916212,200,Success
RT @AarZoBruv: This deserves endless RT'S ;( #FastFurious7 #PaulWalker http://t.co/BeU8exDRVr,en,,positive,0.309915832,200,Success
"Una gran historia, see you again... #FastFurious7 http://t.co/VB3r13Xcxy",en,,positive,0.214487297,200,Success
I about lost it at the end of #FastFurious7 http://t.co/sfXP6n4PyG,en,,negative,-0.666762836,200,Success
"@TheRock were you watching old film of yourself while in the hospital on #FastFurious7 ? If so, nice add in. #TheU",en,,positive,0.32750821066667,200,Success
"RT @suanjean: 
#forPAUL #FF7 #FastFurious7 http://t.co/Dhmov3MGyE",th,,neutral,0,469,Sentiment not found
"RT @suanjean: 
#forPAUL #FF7 #FastFurious7 http://t.co/Dhmov3MGyE",th,,neutral,0,469,Sentiment not found
"RT @pimkaiearng:     
 #FastFurious7  #Fast7 http://t.co/qy5S7F8dOW",th,,neutral,0,469,Sentiment not found
I recommend bringing tissues to #FastFurious7,en,,positive,0.664242943,200,Success
#FastFurious7 what a film ,en,,neutral,0,469,Sentiment not found
#FastFurious7 ,und,,neutral,0,469,Sentiment not found
#FastFurious7 was goood ; #RIPPaulWalker ',en,,neutral,0,469,Sentiment not found
"   7,   ... #RIPPaulWalker #FastFurious7 http://t.co/I5sFPCwCg6",ru,,neutral,0,469,Sentiment not found
"RT @fyzzaty_: ""things will be different""#FastFurious7 http://t.co/WDDGH8rE5J",en,,positive,0.079527502666667,200,Success
From the first ride to the last ride #Furious7 #RIPPaulWalker #SeeYouAgain #FastFurious7  http://t.co/YJkeQdfeOh,en,,neutral,0.038878656666667,200,Success
"RT @suanjean:  
 IT'S NEVER GOODBYE 
#FF7 #FastFurious7 http://t",th,,positive,0.467771937,200,Success
"RT @suanjean: 
#forPAUL #FF7 #FastFurious7 http://t.co/Dhmov3MGyE",th,,neutral,0,469,Sentiment not found
"De fast 'n furious 7, lo mejor es el final. Gran homenaje a Paul Walker... lo nico rescatable #FastFurious7 #PaulWalker",es,Espaa,negative,-0.1975054675,200,Success
RT @nnnnoeyyy: {Thaisub}  ..   #FastFurious7 http://t.,th,,neutral,0,469,Sentiment not found
RT @LaurynGoodman: Wow words cannot describe that movie #FastFurious7 watch it please... Tears in my eyes but what a way to be remembered R,en,,positive,0.1580748475,200,Success
RT @moonoy68:    #PaulWalker #FastFurious7 http://t.co/TpOOOIqL2R,th,,neutral,0,469,Sentiment not found
"RT @the_fighter_mk: ""You'll be always my brother"" ...

#FastFurious7 
#its_not_goodbye http://t.co/Em8IkmqloE",en,,neutral,0,469,Sentiment not found
"RT @FergieTimeMUFC: #FastFurious7 no comment. 

http://t.co/egmW0XRfOp",fr,,negative,-0.217959174,200,Success
RT @Nam_rock1: see you again #FastFurious7,th,,positive,0.214487297,200,Success
Fast7 #FastFurious7,en,,neutral,0,469,Sentiment not found
#FastFurious7 was epic! #PaulWalker made that movie. ,en,,positive,0.192192596,200,Success
RT @antymusic: Brothers  Infinite Retweet for that ! #FastFurious7 http://t.co/On1vlvd0GI,en,,negative,-0.071533022,200,Success
 #FastFurious7,und,,neutral,0,469,Sentiment not found
https://t.co/l3B39WiPsg #FastFurious7 #bestmovie #music,und,,positive,0.405682119,200,Success
"It's been a long day, without you my friend and I'll tell you all about it when I see you again  #FastFurious7",en,,positive,0.208954366,200,Success
"@fyzzaty_: ""things will be different""#FastFurious7 http://t.co/w9cTeFIEFQ",en,,positive,0.079527502666667,200,Success
RT @JalenKolodynski: Finished the way they started! #ForPaul #FastFurious7 http://t.co/T5YCQjUkUQ,en,,neutral,0.0108890965,200,Success
Watched #FastFurious7 yesterday and it's definitely one of the best ones. Would definitely recommend it.,en,,positive,0.587404904,200,Success
So happy to hear @JBALVIN on the #FastFurious7 soundtrack!! Fan since day one ,en,,positive,0.37837404,200,Success
RT @antymusic: Brothers  Infinite Retweet for that ! #FastFurious7 http://t.co/On1vlvd0GI,en,,negative,-0.071533022,200,Success
"RT @suanjean: 
 
#FastFurious7 http://",th,,neutral,0,469,Sentiment not found
